title,link
Beauty 911 YC Summer 2022 Application,https://www.youtube.com/watch?v=OgvI9VyiGIc
YC application video,https://www.youtube.com/watch?v=XDizLmOq7iQ
YC S15 Video Application,https://www.youtube.com/watch?v=CciBjoTaZIc
Grapes Y Combinator Summer 2021 Application video,https://www.youtube.com/watch?v=yGOv1z5pCLo
"ai-Wealth,  Y Combinator (YC W2019) Application Video",https://www.youtube.com/watch?v=FITsIT5xQA0
YC S21 Application Video,https://www.youtube.com/watch?v=Sj4s0jFE458
Alana YC Application Video - Summer Batch 2019,https://www.youtube.com/watch?v=DK2yymdS0hY
SpappCo (YC S22) Application Video,https://www.youtube.com/watch?v=D-cFNmapdZ8
BlueCargo YC S2018 Application Video,https://www.youtube.com/watch?v=urRTl1B8FRs
Singspiel (YC W2016) Application Video,https://www.youtube.com/watch?v=T41kZVz7D1M
Sendif Y Combinator YC W24 Application,https://www.youtube.com/watch?v=RdAAvfIs1W8
Umbrellas (YC S2017) Application Video,https://www.youtube.com/watch?v=Q6T4dIz-UGs
Opticli's Application video for YC W22,https://www.youtube.com/watch?v=O4I5Zfc-f00
Joluud YC application video,https://www.youtube.com/watch?v=7Ahmki9oGFE
YC Winter 2021 Application,https://www.youtube.com/watch?v=MszknUFHCDE
YC Winter 2019 Application Video,https://www.youtube.com/shorts/5n1KDuw37x8
YCombinator - Summer 2023 - Application video,https://www.youtube.com/watch?v=FrU4I_f7F0Y
Kurt YC F24 Application Video,https://www.youtube.com/watch?v=ev1Wpoxx5Gk
Original (YC W23) Application Video,https://www.youtube.com/watch?v=-lgjQXn85dg
Ycombinator Winter 2023 - TheSafeContract Application video,https://www.youtube.com/watch?v=0xcmUBlo-t4
In2Tech - YC W23 Application Video,https://www.youtube.com/watch?v=H1kk8KitfhA
YC F24 Application Video - CalmEmail AI,https://www.youtube.com/watch?v=hi3M4ChZPm8
YC S23 Application Video,https://www.youtube.com/watch?v=qnfd54viLEY
Boxscore Media (YC S17) Application Video,https://www.youtube.com/watch?v=0wlojdpL7XE
Andes STR (YC Summer 2021) Application,https://www.youtube.com/watch?v=evLpMSpeX9M
Cscade (YC S2016) Application Video,https://www.youtube.com/watch?v=kp08nUm6dIE
Testimonial (YC W22) Application Video,https://www.youtube.com/watch?v=DN4BQtgkLEk
Y-Combinator Application Video - 1min,https://www.youtube.com/watch?v=lY3hoi1eizM
Nalony's Application Video for YC W23,https://www.youtube.com/watch?v=PyD4mA8EKgM
Addmini (YC S2018) Application Video,https://www.youtube.com/watch?v=5jHvQDKSICM
Teespring (YC W2013) Application Video,https://www.youtube.com/watch?v=Ipf247AmhiI
Sploot Winter 2020 YC Application Video,https://www.youtube.com/watch?v=tniSZA70zT4
